title,genres
Blue in the Face,"[{'id': 35, 'name': 'Comedy'}]"
Canadian Bacon,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]"
Casper,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
Clockers,"[{'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
Congo,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
Crimson Tide,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]"
Crumb,"[{'id': 99, 'name': 'Documentary'}]"
Desperado,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]"
Devil in a Blue Dress,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
Die Hard: With a Vengeance,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]"
The Doom Generation,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
Feast of July,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
First Knight,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Free Willy 2 - The Adventure Home,"[{'id': 12, 'name': 'Adventure'}]"
Hackers,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]"
Jeffrey,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Johnny Mnemonic,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
Judge Dredd,"[{'id': 878, 'name': 'Science Fiction'}]"
Jury Duty,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
Kids,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
Living in Oblivion,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"
Lord of Illusions,"[{'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]"
Love & Human Remains,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
Mad Love,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]"
Mallrats,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]"
Mighty Morphin Power Rangers: The Movie,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]"
Moonlight and Valentino,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Mute Witness,"[{'id': 53, 'name': 'Thriller'}, {'id': 10769, 'name': 'Foreign'}]"
Nadja,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]"
The Net,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]"
Nine Months,"[{'id': 35, 'name': 'Comedy'}]"
Party Girl,"[{'id': 35, 'name': 'Comedy'}]"
The Prophecy,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]"
Reckless,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
Safe,"[{'id': 18, 'name': 'Drama'}]"
The Scarlet Letter,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]"
The Show,"[{'id': 99, 'name': 'Documentary'}]"
Showgirls,"[{'id': 18, 'name': 'Drama'}]"
Smoke,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
Something to Talk About,"[{'id': 35, 'name': 'Comedy'}]"
Species,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]"
The Stars Fell on Henrietta,"[{'id': 18, 'name': 'Drama'}]"
Strange Days,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
The Umbrellas of Cherbourg,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
The Tie That Binds,"[{'id': 53, 'name': 'Thriller'}]"
Three Wishes,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]"
Total Eclipse,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
"To Wong Foo, Thanks for Everything! Julie Newmar","[{'id': 35, 'name': 'Comedy'}]"
Under Siege 2: Dark Territory,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]"
Unstrung Heroes,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
Unzipped,"[{'id': 99, 'name': 'Documentary'}]"
A Walk in the Clouds,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Waterworld,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]"
White Man's Burden,"[{'id': 18, 'name': 'Drama'}]"
Wild Bill,"[{'id': 28, 'name': 'Action'}, {'id': 37, 'name': 'Western'}]"
The Browning Version,"[{'id': 18, 'name': 'Drama'}]"
Bushwhacked,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 10751, 'name': 'Family'}]"
